ResourceID,Period Name,Period Name Use Type,Period Name Currency Type,Alternative Name,Alternative Name Use Type,Alternative Name Currency Type,Period Description,Period Description Type,Period Type,Earliest Possible Start Date,Latest Possible End Date,Parent Period,Geospatial Coordinates
a0c82345-8392-4a8c-9ffe-acbf0a977081,Late 5th Century,Primary,Current,Late 5th Century CE,Alternative,Current,The latter part of the fifth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,467,500,"[{""resourceId"": ""6a783bff-6c1b-4789-8be0-74f7e181c29f"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
a3ef20af-de1a-4724-9ac3-a9ba3d631ca3,Early 11th Century,Primary,Current,Early 11th Century CE,Alternative,Current,The early part of the eleventh century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1001,1032,"[{""resourceId"": ""7e4a68cc-8ffe-4b53-81ff-45cc574ec5f5"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
a4364e70-4542-4ff9-8c8d-4b6101495323,Mid 20th Century,Primary,Current,Mid 20th Century CE,Alternative,Current,The middle part of the twentieth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1933,1966,"[{""resourceId"": ""dce82930-30a2-4065-8d81-f7235aea1e0b"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
a449584a-4a66-4f92-8e6b-4d71257ccb6f,Interregnum,Primary,Current,,,,"The period during which England and Wales, and later Scotland and Ireland, were governed as a republic known as the Commonwealth. From 1649-1653 the Commonwealth was governed by a Council of State and successive Parliaments. From 1653 Oliver Cromwell was made head of state, with the title of Lord Protector. Cromwell died and was succeeded by his son Richard in 1658, but he was unable to maintain political stability and lost power in 1659. In 1660 King Charles II was restored to the throne and the monarchy reestablished.",Full,Political Period,1649,1660,"[{""resourceId"": ""b06f958e-34b1-4973-bb22-fda5d6903533"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
a4e8a603-c7f4-46e8-a5d9-f07f6739029b,Late 19th Century,Primary,Current,Late 19th Century CE,Alternative,Current,The latter part of the nineteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1867,1900,"[{""resourceId"": ""972759f7-7c81-4ea6-bbfa-a76f8a955d25"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ab20a404-f0b3-4e32-bdea-3e3ea2e94e77,Mid 18th Century,Primary,Current,Mid 18th Century CE,Alternative,Current,The middle part of the eighteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1733,1766,"[{""resourceId"": ""d0208e63-236b-46ba-882d-4780381db674"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
abe624ea-ebb7-4d67-a32f-8e4aebc0b434,Late 11th Century,Primary,Current,Late 11th Century CE,Alternative,Current,The latter part of the eleventh century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1067,1100,"[{""resourceId"": ""7e4a68cc-8ffe-4b53-81ff-45cc574ec5f5"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ace0ce87-c929-496e-89fa-e4d8993bd51c,Late 12th Century,Primary,Current,Late 12th Century CE,Alternative,Current,The latter part of the twelfth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1167,1200,"[{""resourceId"": ""bb53e174-5079-4c39-81f7-d2d64dd4408b"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
adf9023c-f8da-4806-8611-ca9fe9b06562,Early 19th Century,Primary,Current,Early 19th Century CE,Alternative,Current,The early part of the nineteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1801,1832,"[{""resourceId"": ""972759f7-7c81-4ea6-bbfa-a76f8a955d25"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ae7ae580-eff9-4856-9846-587f50fc8b2e,Late 9th Century,Primary,Current,Late 9th Century CE,Alternative,Current,The latter part of the ninth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,867,900,"[{""resourceId"": ""779f2bba-192b-431b-9452-0992cba0e911"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b06f958e-34b1-4973-bb22-fda5d6903533,Tudor,Primary,Current,,,,Dating to the reign of the Tudor monarchs.,Full,Political Period,1485,1603,"[{""resourceId"": ""6777424a-c0f9-437a-b709-4f48bb4f4f4c"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""},{""resourceId"": ""132631f4-aeef-4877-ac78-337f357eb15a"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b1dbf30c-5652-4cf9-aaab-8caa13e4b3e1,Cold War,Primary,Current,,,,"The period of political and military opposition between the major Superpowers (USA and USSR) and their allies. Known as the Cold War as there were no direct military conflicts between the two main protagonists. Use to record buildings, defensive monuments and sites dating to, and associated with, the Cold War - otherwise, use Mid or Late 20th Century.",Full,Historic Period,1946,1991,"[{""resourceId"": ""dce82930-30a2-4065-8d81-f7235aea1e0b"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b21d5dc8-78f4-4483-92f8-4bf390f0136a,Caroline,Primary,Current,,,,Dating to the reign of Charles I of England.,Full,Political Period,1625,1649,"[{""resourceId"": ""4f853fb3-8a0d-487f-860d-80c540f85fd7"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
